Mixture,IL12A,IL12B,IL2,IL10,IL6,IFNG,HMGB1,PDCD1,PDCD2,PDCD1LG2
TCGA-BP-4965-01A,0.012192892198540596,0.0056495585953265,0.0,0.022426268208073124,0.02061519697762813,0.015725152116672917,0.3840998851548608,0.043698478604837984,0.2290418873849907,0.12485849663415985
TCGA-B0-4843-01A,0.013089440033640085,0.005424801161237385,0.0,0.006455136751512068,0.35061099966251064,0.010272148922995487,0.3120533920657103,0.0408717924902361,0.1727583032092566,0.07771595138656645
TCGA-B0-5116-01A,0.010451376319377,0.0018560104987864745,0.003036086217425407,0.019817851028847738,0.05870838831665811,0.0169671383761298,0.3419585453277744,0.02528095518486333,0.19304067397523988,0.055963892523025936
TCGA-B0-4690-01A,0.03648883176824004,0.010135679363143914,0.006358546276569586,0.09783450251844622,0.3014248879835343,0.2090456631026477,0.3749250834718051,0.20547329199355155,0.20269477542706604,0.22080809060683868
TCGA-BP-4163-01A,0.007123492027332678,0.012001320207760869,0.004384863030745277,0.023754624153048482,0.02571002475811532,0.015303638291339459,0.32463934792570204,0.06603350653033117,0.2238530629759273,0.07207808558452622
TCGA-CJ-5678-01A,0.04063126224721679,0.011529739296686776,0.00584507188963838,0.05330397234657035,0.06640843074876382,0.12034061203101125,0.3531550082625532,0.20461861049188154,0.2290552342254604,0.10011583117315516
TCGA-AK-3436-01A,0.005635653259839298,0.007566012807256478,0.010065117659564377,0.008599511039129443,0.0018845367272964434,0.003182174748247956,0.34244875349039405,0.06317330910788066,0.2374019255296287,0.045552881471300814
TCGA-B8-A54I-01A,0.0109919158050501,0.0023199835608763452,0.01917000114655467,0.03888412889784995,0.0900682025932042,0.038773385398544816,0.27142161558209005,0.10188622917545996,0.15556582530992594,0.11516619952584756
TCGA-B0-5121-01A,0.006992752020411168,0.002406398766500909,0.003541161311734381,0.0052927360525533,0.02248222623652366,0.013375768001441284,0.3029562903467904,0.06480166158347239,0.1572742448869872,0.055652726912477794
TCGA-CZ-5989-01A,0.04170319233285583,0.0108661062305629,0.008351054720846364,0.0586430746949528,0.03881702558937759,0.12263477556993975,0.4420489946337781,0.006684480545590215,0.25486930770015365,0.1879304375420837
TCGA-CZ-5987-11A,0.010439280167137544,0.002993767661184333,0.0072433705891066825,0.015753956752045217,0.11596513809262166,0.0022696619531137,0.3709709776747935,0.031864008836180485,0.21986253336784825,0.1305210968781023
TCGA-A3-3382-01A,0.02040638949477552,0.009039299569385758,0.014529569475199969,0.04947492749398685,0.0769015736236233,0.02548232705040021,0.3747382118215608,0.13458319155909546,0.23026205275375825,0.15997717466649744
TCGA-B0-4706-01A,0.011310759355240443,0.002331312790291599,0.0,0.01237607065088837,0.027388098323056508,0.061198953045112074,0.3248893605378108,0.1022030950746778,0.18548642200333545,0.037498309145876464
TCGA-CJ-4916-01A,0.024197027468185982,0.011197522846168378,0.002408134884427054,0.0670266689056614,0.043129663486662695,0.12271486259570676,0.31191290559667434,0.2581960796497685,0.1907249274078876,0.13751630055623115
TCGA-CZ-4853-01A,0.008047619215695084,0.014012353969309692,0.005312046191046588,0.011092760012987837,0.011686113258182505,0.02076055554960228,0.30250745069887897,0.0319101186160118,0.1380258762186895,0.0677236032214383
TCGA-A3-3367-01A,0.007140984463650563,0.0024524479635499048,0.016934213402082347,0.025699419730997885,0.010697401459081341,0.0054797843156904604,0.3501428663559842,0.047697744144481864,0.2012322323227584,0.1173115204475017
TCGA-CZ-5456-11A,0.012397929252211405,0.0055308639393472315,0.0,0.019526152649195463,0.29812631252210675,0.010483133795627413,0.3261712120782905,0.002099427610689474,0.19085612454117626,0.04142570030113426
TCGA-B0-5699-01A,0.00694544058577641,0.006429409939253148,0.0047938609920671355,0.01551029550954591,0.0017519227684957592,0.0044116878498921186,0.3756427089270272,0.05818876279617556,0.20870586612670936,0.09004733326859556
TCGA-A3-3383-01A,0.01133208653742766,0.005172048104885431,0.002157194083194112,0.0308516248942743,0.005736335309497568,0.03546866387293905,0.3657928323548867,0.11781848125980587,0.21551658406100152,0.09987949220122974
TCGA-BP-5010-01A,0.010894235991146604,0.004850583701368825,0.02042639692773481,0.018831037075149742,0.31147879673645695,0.028921874659806907,0.2866258347466752,0.059347220350690275,0.15788372137266268,0.049290174339330334
TCGA-B0-5117-01A,0.003342938263091009,0.07366968952498341,0.0,0.004287307435430558,0.02158022685038713,0.0014146501679760564,0.2667758538301082,0.005576301579039506,0.1390532814886063,0.024351051134164556
TCGA-B2-3924-01A,0.034542848421222884,0.0175824507096015,0.006172065031947614,0.09592363483071198,0.016663990463242562,0.11846911246610994,0.2821069976662404,0.2122664079747449,0.19684529173317866,0.1826771948007153
TCGA-CZ-5988-01A,0.017231572651396937,0.02633433180513909,0.007563651621749475,0.026264552480245708,0.1962965324426832,0.027563573909616397,0.3768222361735508,0.03937575168379662,0.2008874066618766,0.13017384881567687
TCGA-CJ-6028-01A,0.029911402103500087,0.01909027438107386,0.003761978990150429,0.10391017247376254,0.1680173880472661,0.1374853271950414,0.3452896777698306,0.17332574197558615,0.1892037183657363,0.21225434887137345
TCGA-A3-3376-01A,0.015317000033720394,0.002759948380767272,0.0033954992168934712,0.07578587726863187,0.03322810900388422,0.010097311452193482,0.38940139103737054,0.04142759782632344,0.2250549124341165,0.1395632904943076
TCGA-B0-5705-01A,0.012295373322922222,0.009705719460062436,0.002604995044540206,0.01910520001064927,0.006234699498598408,0.02383781583384969,0.3342412743330679,0.13117473910892086,0.2018904279272173,0.10475176423677356
TCGA-B8-4622-11A,0.004788468014425604,0.0014401941920502894,0.0017736680695388484,0.026401823671432238,0.018444300908446558,0.004811476169781016,0.3242200937234978,0.06255080387552417,0.21185165019005184,0.10100332674513236
TCGA-B8-5158-01A,0.005802463714706257,0.0053694054514943365,0.005300968309478506,0.039168526924318964,0.2734192167692922,0.05122212948714566,0.3514431112897197,0.09360544356441966,0.17198824856128414,0.11425789590651228
TCGA-CZ-5465-01A,0.0050189710899445975,0.005749266290350992,0.0020609405196492826,0.023729935010908355,0.10690417299621834,0.008281344683967394,0.3679696187334378,0.025012323331751855,0.19054867321652766,0.0713622343342799
TCGA-B0-4945-01A,0.00805721450304433,0.003798836415194932,0.007369142027643609,0.008299898930047674,0.08379777570003408,0.022037223134467567,0.3534346132082415,0.034128035185275116,0.21593584279627034,0.09947740175031038
TCGA-CJ-5681-11A,0.009321038806310435,0.006296018016744781,0.0,0.002979851187067309,0.041754655888158125,0.0,0.3051644451422429,0.029164878587104343,0.19217987749384952,0.06174899107519859
TCGA-B0-5695-01A,0.018857658602651352,0.002775281372404998,0.0027395100526921624,0.010477104413582178,0.1172702286709254,0.0132041427822744,0.37099422326677306,0.061237460547094225,0.2062388386157959,0.10264404064330307
